pipeline,best_val_auc,n_trials,n_complete,n_pruned,backbone,p_drop,head_lr,disc_decay,weight_decay,label_smooth,loss,focal_gamma,r,lora_alpha,lora_dropout,lr,hidden,n_layers,feat,aux_weight,n_radial,bayar_ch,K,mil_hidden
cnn-finetune,0.9921780228998964,12,7,5,efficientnet_b0,0.4730073038926608,0.0014316113516618027,0.3336613993697719,1.0692354501518688e-05,0.060089817896396655,focal,2.9407547475576137,,,,,,,,,,,,
vit-lora,0.9965909003813397,12,6,6,,0.08764339456056544,,,8.168455894760161e-05,0.07851759613930137,focal,2.184829137724085,32.0,32.0,0.027898772130408367,0.0006011321832885781,,,,,,,,
clip-probe,0.9939943164834522,80,37,43,,0.5435849383457132,,,1.552829956607584e-05,0.0013897558179016695,focal,2.1548718110403824,,,,0.0012626052481662423,1024.0,3.0,,,,,,
two-stream,0.9320919235815421,20,5,15,,0.17336180394137352,,,0.0010349154179321335,0.04319450186421158,focal,1.2789877213040837,,,,0.0013968843144319682,,,128.0,0.20909498032426038,,,,
freqcross,0.9338108441802309,20,7,13,,0.2298684531401668,,,0.001519840167588074,0.061953394313359916,bce,,,,,0.0018965144817604614,,,256.0,0.18982139217818184,48.0,,,
srm-noise,0.9324268065214468,24,11,13,,0.345207821056262,,,0.0010237589162286939,0.025061205134484225,bce,,,,,0.0013737630283266352,,,128.0,,,6.0,,
patch-ensemble,0.9941503919654571,8,8,0,efficientnet_b0,0.15579754426081674,,,5.4041038546473305e-05,,focal,1.3993475643167195,,,,0.00019594972058679176,,,,,,,6.0,256.0
dire-recon,0.944115625,20,9,11,efficientnet_b0,0.2970702945812612,,,1.0139434690021975e-05,0.009414835630156285,bce,,,,,0.000619428307410396,,,,,,,,
